x_2,x_T,x_T1,x_T2,x_T3,x_T4,x_T5,x_T6,x_T7,x_T8,x_T9,x_T10
0.4,0.2,0.5992,0.86985145,0.408160375,0.88949782,0.337910693,0.823742626,0.536820968,0.917072726,0.230999425,0.666033979
0.9048,0.5992,0.86985145,0.408160375,0.88949782,0.337910693,0.823742626,0.536820968,0.917072726,0.230999425,0.666033979,0.801980014
0.324736339,0.86985145,0.408160375,0.88949782,0.337910693,0.823742626,0.536820968,0.917072726,0.230999425,0.666033979,0.801980014,0.573869956
0.826695587,0.408160375,0.88949782,0.337910693,0.823742626,0.536820968,0.917072726,0.230999425,0.666033979,0.801980014,0.573869956,0.887454372
0.540127874,0.88949782,0.337910693,0.823742626,0.536820968,0.917072726,0.230999425,0.666033979,0.801980014,0.573869956,0.887454372,0.364307835
0.927787326,0.337910693,0.823742626,0.536820968,0.917072726,0.230999425,0.666033979,0.801980014,0.573869956,0.887454372,0.364307835,0.859382595
0.208108062,0.823742626,0.536820968,0.917072726,0.230999425,0.666033979,0.801980014,0.573869956,0.887454372,0.364307835,0.859382595,0.405830696
0.606810746,0.536820968,0.917072726,0.230999425,0.666033979,0.801980014,0.573869956,0.887454372,0.364307835,0.859382595,0.405830696,0.899153596
0.879675733,0.917072726,0.230999425,0.666033979,0.801980014,0.573869956,0.887454372,0.364307835,0.859382595,0.405830696,0.899153596,0.285726101
0.336443122,0.230999425,0.666033979,0.801980014,0.573869956,0.887454372,0.364307835,0.859382595,0.405830696,0.899153596,0.285726101,0.766318955
0.832554268,0.666033979,0.801980014,0.573869956,0.887454372,0.364307835,0.859382595,0.405830696,0.899153596,0.285726101,0.766318955,0.638741464
0.470702038,0.801980014,0.573869956,0.887454372,0.364307835,0.859382595,0.405830696,0.899153596,0.285726101,0.766318955,0.638741464,0.839814124
0.919049325,0.573869956,0.887454372,0.364307835,0.859382595,0.405830696,0.899153596,0.285726101,0.766318955,0.638741464,0.839814124,0.465724238
0.213052385,0.887454372,0.364307835,0.859382595,0.405830696,0.899153596,0.285726101,0.766318955,0.638741464,0.839814124,0.465724238,0.917917822
0.628145021,0.364307835,0.859382595,0.405830696,0.899153596,0.285726101,0.766318955,0.638741464,0.839814124,0.465724238,0.917917822,0.234427715
0.847123004,0.859382595,0.405830696,0.899153596,0.285726101,0.766318955,0.638741464,0.839814124,0.465724238,0.917917822,0.234427715,0.668713861
0.433886131,0.405830696,0.899153596,0.285726101,0.766318955,0.638741464,0.839814124,0.465724238,0.917917822,0.234427715,0.668713861,0.796139541
0.906101628,0.899153596,0.285726101,0.766318955,0.638741464,0.839814124,0.465724238,0.917917822,0.234427715,0.668713861,0.796139541,0.594860588
0.256427225,0.285726101,0.766318955,0.638741464,0.839814124,0.465724238,0.917917822,0.234427715,0.668713861,0.796139541,0.594860588,0.876561123
0.711361108,0.766318955,0.638741464,0.839814124,0.465724238,0.917917822,0.234427715,0.668713861,0.796139541,0.594860588,0.876561123,0.379587928
0.725174329,0.638741464,0.839814124,0.465724238,0.917917822,0.234427715,0.668713861,0.796139541,0.594860588,0.876561123,0.379587928,0.86543168
0.727804046,0.839814124,0.465724238,0.917917822,0.234427715,0.668713861,0.796139541,0.594860588,0.876561123,0.379587928,0.86543168,0.428745178
0.694504434,0.465724238,0.917917822,0.234427715,0.668713861,0.796139541,0.594860588,0.876561123,0.379587928,0.86543168,0.428745178,0.908800661
0.783998412,0.917917822,0.234427715,0.668713861,0.796139541,0.594860588,0.876561123,0.379587928,0.86543168,0.428745178,0.908800661,0.256117882
0.590366854,0.234427715,0.668713861,0.796139541,0.594860588,0.876561123,0.379587928,0.86543168,0.428745178,0.908800661,0.256117882,0.715151767
0.881546202,0.668713861,0.796139541,0.594860588,0.876561123,0.379587928,0.86543168,0.428745178,0.908800661,0.256117882,0.715151767,0.732402344
0.334446012,0.796139541,0.594860588,0.876561123,0.379587928,0.86543168,0.428745178,0.908800661,0.256117882,0.715151767,0.732402344,0.707411326
0.826710607,0.594860588,0.876561123,0.379587928,0.86543168,0.428745178,0.908800661,0.256117882,0.715151767,0.732402344,0.707411326,0.741136517
0.479382684,0.876561123,0.379587928,0.86543168,0.428745178,0.908800661,0.256117882,0.715151767,0.732402344,0.707411326,0.741136517,0.701140922
0.931907025,0.379587928,0.86543168,0.428745178,0.908800661,0.256117882,0.715151767,0.732402344,0.707411326,0.741136517,0.701140922,0.746520549
0.189376001,0.86543168,0.428745178,0.908800661,0.256117882,0.715151767,0.732402344,0.707411326,0.741136517,0.701140922,0.746520549,0.704903333
0.566681419,0.428745178,0.908800661,0.256117882,0.715151767,0.732402344,0.707411326,0.741136517,0.701140922,0.746520549,0.704903333,0.757264462
0.898769313,0.908800661,0.256117882,0.715151767,0.732402344,0.707411326,0.741136517,0.701140922,0.746520549,0.704903333,0.757264462,0.648184858
0.279979944,0.256117882,0.715151767,0.732402344,0.707411326,0.741136517,0.701140922,0.746520549,0.704903333,0.757264462,0.648184858,0.846270599
0.751496569,0.715151767,0.732402344,0.707411326,0.741136517,0.701140922,0.746520549,0.704903333,0.757264462,0.648184858,0.846270599,0.442341075
0.652016008,0.732402344,0.707411326,0.741136517,0.701140922,0.746520549,0.704903333,0.757264462,0.648184858,0.846270599,0.442341075,0.917840052
0.833015674,0.707411326,0.741136517,0.701140922,0.746520549,0.704903333,0.757264462,0.648184858,0.846270599,0.442341075,0.917840052,0.226401273
0.463845498,0.741136517,0.701140922,0.746520549,0.704903333,0.757264462,0.648184858,0.846270599,0.442341075,0.917840052,0.226401273,0.658164867
0.928068122,0.701140922,0.746520549,0.704903333,0.757264462,0.648184858,0.846270599,0.442341075,0.917840052,0.226401273,0.658164867,0.818919631
0.198579701,0.746520549,0.704903333,0.757264462,0.648184858,0.846270599,0.442341075,0.917840052,0.226401273,0.658164867,0.818919631,0.516492026
